Zeit,LOAD,Random
2013/10/25 14:28:57,0.48,4
2013/10/25 14:29:02,0.45,6
2013/10/25 14:29:07,0.41,9
2013/10/25 14:29:12,0.38,5
2013/10/25 14:29:17,0.35,0
2013/10/25 14:29:22,0.32,-1
2013/10/25 14:29:27,0.29,-4
2013/10/25 14:29:32,0.59,-4
2013/10/25 14:29:37,0.54,0
2013/10/25 14:29:43,0.50,3
2013/10/25 14:29:48,0.62,-1
2013/10/25 14:29:53,0.65,-6
2013/10/25 14:29:58,0.68,-9
2013/10/25 14:30:03,0.78,-5
2013/10/25 14:30:08,0.80,-9
2013/10/25 14:30:13,1.14,-11
2013/10/25 14:30:18,1.21,-14
2013/10/25 14:30:23,1.27,-17
2013/10/25 14:30:28,1.17,-16
2013/10/25 14:30:33,1.07,-16
2013/10/25 14:30:38,0.99,-13
2013/10/25 14:30:43,0.91,-18
2013/10/25 14:30:48,1.00,-22
2013/10/25 14:30:53,1.08,-26
2013/10/25 14:30:58,1.15,-22
2013/10/25 14:31:03,1.06,-20
2013/10/25 14:31:08,0.97,-17
2013/10/25 14:31:13,0.90,-14
2013/10/25 14:31:18,0.98,-15
2013/10/25 14:31:23,1.07,-11
2013/10/25 14:31:28,0.98,-16
2013/10/25 14:31:33,0.90,-13
2013/10/25 14:31:39,0.83,-10
2013/10/25 14:31:44,0.92,-11
2013/10/25 14:31:49,0.85,-13
2013/10/25 14:31:54,0.78,-18
2013/10/25 14:31:59,0.88,-17
2013/10/25 14:32:04,0.81,-16
2013/10/25 14:32:09,0.74,-16
2013/10/25 14:32:14,0.68,-16
2013/10/25 14:32:19,0.79,-20
2013/10/25 14:32:24,1.05,-24
2013/10/25 14:32:29,1.12,-27
2013/10/25 14:32:34,1.19,-29
2013/10/25 14:32:39,1.01,-31
2013/10/25 14:32:44,0.93,-35
2013/10/25 14:32:49,0.85,-39
2013/10/25 14:32:54,1.03,-41
2013/10/25 14:32:59,1.26,-42
2013/10/25 14:33:04,1.24,-39
2013/10/25 14:33:09,1.22,-42
2013/10/25 14:33:14,1.13,-45
2013/10/25 14:33:19,1.04,-47
2013/10/25 14:33:24,0.95,-45
2013/10/25 14:33:29,0.88,-46
2013/10/25 14:33:34,0.81,-48
2013/10/25 14:33:40,0.74,-47
2013/10/25 14:33:45,0.68,-44
2013/10/25 14:33:50,0.63,-41
2013/10/25 14:33:55,0.58,-45
2013/10/25 14:34:00,0.61,-47
2013/10/25 14:34:05,0.72,-45
2013/10/25 14:34:10,0.90,-45
2013/10/25 14:34:15,1.15,-42
